Algoritm,N,Tip_Date,Secunde
MergeSort,100000000,aleator,203.494901
QuickSort,100000000,aleator,237.029235
PythonNative,100000000,aleator,19.626246
MergeSort,100000000,plat,120.217050
QuickSort,100000000,plat,14.447954
PythonNative,100000000,plat,5.326998
MergeSort,100000,aleator,0.091393
QuickSort,100000,aleator,0.081304
PythonNative,100000,aleator,0.008038
MergeSort,100000,plat,0.081996
QuickSort,100000,plat,0.009905
PythonNative,100000,plat,0.004011
MergeSort,100000,sortat,0.056530
QuickSort,100000,sortat,0.051286
PythonNative,100000,sortat,0.000213
MergeSort,100000,invers,0.057898
QuickSort,100000,invers,0.051453
PythonNative,100000,invers,0.000343
MergeSort,100000,aproape_sortat,0.078622
QuickSort,100000,aproape_sortat,0.054104
PythonNative,100000,aproape_sortat,0.002583
BubbleSort,1000,aleator,0.014812
InsertionSort,1000,aleator,0.006090
MergeSort,1000,aleator,0.000667
QuickSort,1000,aleator,0.000537
PythonNative,1000,aleator,0.000103
BubbleSort,1000,plat,0.013691
InsertionSort,1000,plat,0.005452
MergeSort,1000,plat,0.000598
QuickSort,1000,plat,0.000113
PythonNative,1000,plat,0.000046
BubbleSort,1000,sortat,0.000022
InsertionSort,1000,sortat,0.000031
MergeSort,1000,sortat,0.000409
QuickSort,1000,sortat,0.000315
PythonNative,1000,sortat,0.000003
BubbleSort,1000,invers,0.018701
InsertionSort,1000,invers,0.012146
MergeSort,1000,invers,0.000434
QuickSort,1000,invers,0.000337
PythonNative,1000,invers,0.000004
BubbleSort,1000,aproape_sortat,0.008742
InsertionSort,1000,aproape_sortat,0.000917
MergeSort,1000,aproape_sortat,0.000535
QuickSort,1000,aproape_sortat,0.000409
PythonNative,1000,aproape_sortat,0.000029
